"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling","weighted.JAN_DB","weighted.FEB_DB","weighted.MAR_DB","weighted.APR_DB","weighted.MAY_DB","weighted.JUN_DB","weighted.JUL_DB","weighted.AUG_DB","weighted.SEP_DB","weighted.OCT_DB","weighted.NOV_DB","weighted.DEC_DB","weighted.JAN_WB","weighted.FEB_WB","weighted.MAR_WB","weighted.APR_WB","weighted.MAY_WB","weighted.JUN_WB","weighted.JUL_WB","weighted.AUG_WB","weighted.SEP_WB","weighted.OCT_WB","weighted.NOV_WB","weighted.DEC_WB","weighted.JAN_WS","weighted.FEB_WS","weighted.MAR_WS","weighted.APR_WS","weighted.MAY_WS","weighted.JUN_WS","weighted.JUL_WS","weighted.AUG_WS","weighted.SEP_WS","weighted.OCT_WS","weighted.NOV_WS","weighted.DEC_WS","Latitude","Longitude","State","County","JanWT_pred","FebWT_pred","MarWT_pred","AprWT_pred","MayWT_pred","JunWT_pred","JulWT_pred","AugWT_pred","SepWT_pred","OctWT_pred","NovWT_pred","DecWT_pred"
116,51067,25827,35415,43555,0,122059,35500,121101,79054,43335,55187,63192,100,"tower",9,13,15,17,19,28,28,28,25,19,11,7,4,6,7,7,10,15,18,19,17,13,5,2,4,4,5,6,7,7,7,6,5,5,5,4,33.4225,-111.9122,"AZ","Maricopa",9.850046155,12.50941219,13.99181228,16.90986549,18.25473731,18.90892971,22.0661109,21.33599459,20.51893725,19.26692867,12.9015959,8.975991323
117,251888,210216,207640,291326,97031,512283,551684,849342,926029,723188,755752,844499,100,"tower",7,11,14,15,18,27,26,27,24,18,9,5,3,5,6,6,9,14,17,18,16,12,3,0,4,4,5,6,6,6,7,6,5,5,5,4,33.4417,-112.1583,"AZ","Maricopa",10.01451405,12.65970133,14.01470558,16.8961384,18.00467571,18.93056363,22.04063126,21.29681,20.52001986,19.13302831,13.04563351,9.114119033
120,31959,118561,148457,189909,178721,116059,152387,138792,117698,146423,146563,186165,100,"tower",13,17,20,20,22,30,30,33,30,25,15,11,8,10,11,11,14,18,19,20,20,16,8,5,6,6,6,8,8,8,8,8,7,7,7,7,32.7214,-114.7106,"AZ","Yuma",12.23448178,15.23286989,14.93850222,17.28603402,17.04906884,19.02911114,22.11136056,21.28929139,21.33524225,18.02698348,15.29097253,11.88469085
126,285204,219383,255453,233348,244471,446940,450313,719792,299797,398083,346115,302305,100,"tower",13,16,19,20,22,32,30,31,28,23,15,11,7,9,10,9,11,17,20,20,19,15,7,4,7,7,7,8,8,8,7,7,7,7,7,6,32.16,-110.9047,"AZ","Pima",10.18426231,12.89063355,14.19803988,16.58747625,17.77812019,18.89016417,22.34468304,22.17887895,21.62997476,18.76070253,12.95126838,9.22945335
127,1469130,1354021,5074,0,1398108,1152538,1150176,1458409,1124916,1075598,1024205,837009,100,"tower",5,5,12,17,20,27,29,28,26,19,12,8,1,2,8,14,17,22,23,21,20,13,9,5,10,11,9,12,11,10,10,9,9,9,11,10,34.0825,-99.1753,"TX","Wilbarger",5.98307071,8.579401238,14.30650504,19.12012637,21.38956752,26.44045498,28.2777598,27.24326533,25.1503761,19.97875965,13.93860194,8.547389292
130,4882063,5584007,3724061,2156328,3884644,5244463,5430034,4966555,3572520,3472003,3005414,2147367,100,"tower",8,7,15,19,23,28,29,27,25,19,16,17,5,3,12,16,19,23,24,23,21,16,14,14,7,8,8,7,7,7,6,6,6,7,6,6,33.371506,-80.113235,"SC","Berkeley",9.995912312,8.670544633,13.23777819,19.54670399,23.94860323,29.08848572,29.76186578,29.39302999,26.66313848,20.9708017,17.91273165,15.30337059
136,3212620,2567408,1872720,2588265,3718379,3884605,3784514,3707991,3648851,3755019,3491672,3802935,100,"tower",13,12,20,24,26,29,29,29,27,23,21,20,10,9,16,20,20,23,24,24,23,19,19,17,8,8,7,7,7,6,6,6,6,7,7,7,29.733056,-81.632778,"FL","Putnam",15.82856832,14.50485235,20.74569997,24.24331965,26.20286717,29.41679039,29.89580687,29.62026518,27.54456676,24.53520083,23.32741518,20.38645058
141,1486,6710,11485,4344,22,237313,90119,312521,66195,22766,13,12315,100,"tower",7,11,13,15,17,26,26,27,24,18,9,5,3,5,6,6,9,14,17,18,16,12,3,0,3,4,5,6,6,6,7,6,5,5,4,4,33.5561,-112.2153,"AZ","Maricopa",9.951465673,12.59795528,13.96178801,16.87503569,18.07306646,19.00423029,22.02100784,21.30028061,20.45861871,19.13017882,13.01388358,9.056232808
147,0,8322,100213,239477,114958,292827,274347,278924,277885,257518,44073,187020,100,"tower",9,13,15,17,19,29,28,28,25,19,11,7,4,7,7,7,10,15,18,19,17,13,5,2,4,4,5,6,7,7,7,6,5,5,5,4,33.3556,-111.9353,"AZ","Maricopa",9.903149032,12.56202058,14.01810874,16.90465788,18.17968742,18.83512783,22.0681422,21.32557285,20.56308747,19.21149576,12.95603348,9.050248845
160,1139667,888595,730333,584049,646193,1144597,1227389,1235647,1057163,1047230,819338,897624,100,"tower",10,14,16,18,20,29,28,29,26,19,13,9,5,7,8,8,10,16,19,19,18,14,6,3,7,7,7,8,8,8,7,7,6,7,7,7,32.0603,-109.8931,"AZ","Cochise",9.581275104,12.39811154,13.8923802,16.29012167,18.91541415,19.8993846,22.79715106,22.90772168,21.81423454,18.73846263,12.71713341,8.957666621
165,2108787,2156091,2350472,1585908,2806593,2968767,2988113,3273989,2411695,1344364,815685,1284657,100,"tower",3,2,11,17,20,27,28,26,24,17,11,8,0,-1,8,13,17,22,24,21,20,13,8,5,7,9,7,9,8,8,7,6,7,6,9,9,36.190278,-95.2894,"OK","Mayes",6.470935219,6.320488114,10.98746184,16.33134686,18.69505835,23.80347387,26.47059366,25.41405444,23.49538625,18.73598052,13.59511824,9.508191816
201,0,2041.8,0,0,0,0,24775.5,5402.25,0,0,1920.75,3944.85,15,"tower",4,2,10,16,20,26,28,25,24,17,12,9,1,-1,8,13,17,22,24,21,19,13,8,6,6,7,5,7,6,5,5,4,4,5,6,7,35.462382,-93.804926,"AR","Franklin",5.888435818,5.787211957,9.890805216,17.63602183,20.04236434,24.90817987,27.19150014,28.18863139,25.63932991,19.14578809,14.40689103,11.14072266
207,1841885,2288080,1718703,1614100,2926575,3524634,0,3613448,3355550,3335628,2978908,1526329,100,"tower",13,12,19,23,25,28,29,28,27,23,20,20,10,9,16,19,20,23,24,24,23,19,19,17,8,9,7,7,8,6,7,6,7,8,7,7,30.4308,-81.5508,"FL","Duval",15.78241369,15.26499734,18.98217595,23.36294348,27.00028238,30.42653058,29.9867443,31.93126996,29.42535744,26.47822877,25.76242086,22.89321444
271,0,0,0,41525,20240,21427,36497,0,27143,0,0,0,100,"tower",10,13,15,14,16,20,22,22,21,19,11,9,8,10,11,10,12,15,16,16,14,14,8,7,3,6,5,8,11,9,10,9,7,5,5,6,38.039168,-121.894469,"CA","Contra Costa",8.798293331,7.325781542,9.11061631,16.99944052,17.73853618,19.81215171,21.01461131,20.91771933,19.78183912,18.03551965,13.70110856,9.956797642
298,5177857,2807605,3010788,4302986,5168602,4767706,4404994,4975562,4373777,2684852,1755058,3171025,100,"tower",8,9,14,20,24,28,30,30,28,23,16,13,5,6,12,17,20,23,24,23,21,17,13,10,7,8,6,7,7,5,7,6,5,6,6,6,31.4219,-96.2525,"TX","Limestone",9.739579152,12.01976693,15.29937403,21.2661451,23.57991015,27.5810577,29.34904668,29.26361331,27.54532304,23.24805076,18.22291371,14.12074695
331,0,0,0,13624,8153,256575,246523,191135,191617,161275,0,0,100,"tower",15,17,19,19,18,24,25,27,27,24,15,12,9,11,12,11,13,17,18,19,19,17,8,7,4,4,5,7,7,6,7,6,5,5,5,4,34.09118,-117.52663,"CA","San Bernardino",14.63571022,15.47951266,15.94397253,16.67968307,16.88607897,19.02430213,20.04034104,20.36530986,20.33993197,18.81197868,16.31890679,14.06679922
358,1107269,1182533,1136966,717644,891455,1376754,1580081,1546077,1506192,1206808,1406060,1043070,100,"tower",15,17,19,19,18,24,25,27,27,24,15,12,10,11,12,12,13,17,19,19,19,17,9,7,4,4,5,6,6,6,6,5,5,5,5,5,34.0818,-117.2418,"CA","San Bernardino",14.15766946,15.70773312,15.8265894,16.68188515,17.10895623,19.13835194,20.67272311,20.69086348,20.70350415,18.58164766,16.34562144,13.89001753
377,98318,70532,75812,96343,96590,101795,107538,115800,119078,124590,90958,118179,100,"tower",16,17,19,18,17,22,23,25,26,23,16,13,10,12,13,12,13,17,18,19,19,17,9,7,3,3,4,4,4,4,4,4,3,4,4,4,34.1556,-118.2782,"CA","Los Angeles",15.63609818,16.12615199,16.93203207,17.02228786,16.76161302,18.48178077,19.32356044,20.64955276,21.04214033,20.24468236,16.86110833,15.19766184
384,824954.4,919156.2,873839.4,258612.3,948384.9,788333.4,986981.4,1016328,1029739.8,967555.8,801414.6,164293.8,30,"tower",-5,-10,2,10,17,21,23,22,21,13,7,4,-6,-10,0,6,13,17,19,18,17,9,5,3,10,10,9,11,10,8,7,7,7,10,11,11,41.494636,-88.123827,"IL","Will",3.276215747,1.938134534,5.961381558,12.81554243,17.85542092,21.13910749,24.51215108,25.05682764,22.32912056,17.87240911,11.96706551,7.729793922
389,207165,103792,203806,144075,290454,500783,486861,542101,524946,387396,140677,114325,100,"tower",14,18,21,22,23,31,32,35,32,27,16,12,8,11,12,12,14,19,20,21,21,17,8,6,4,6,6,9,9,9,8,7,6,6,7,7,32.802222,-115.54,"CA","Imperial",13.05679422,15.88371527,15.26586234,17.21949468,17.27449041,19.19364125,22.46949182,21.63823003,21.86623933,18.63549968,15.60135119,12.36867818
408,109,0,42984,197510,37148,168289,159770,323598,343379,584188,453572,79566,100,"tower",15,17,19,18,17,22,23,25,26,23,16,13,10,12,12,12,13,17,18,19,19,17,9,7,4,4,5,5,5,6,6,5,4,5,5,5,34.244991,-118.391327,"CA","Los Angeles",15.54023962,16.0509275,16.89112252,16.99079068,16.54438639,18.38937635,19.26548535,20.7781759,21.22928525,20.51824228,16.74440069,15.14426661
420,22046,0,0,2253,27331,0,0,0,30614,34601,0,24230,100,"tower",16,17,20,18,18,21,23,25,25,23,17,13,10,12,13,12,13,17,18,19,19,18,9,8,2,3,3,4,4,4,4,4,3,3,3,3,34.1254,-118.148,"CA","Los Angeles",15.54487143,16.02287842,16.84789446,16.97113231,16.92460418,18.59165897,19.40815562,20.48920555,20.8248114,19.92266695,16.76673172,15.03101888
469,1472972,1314994,698290,1129385,1046372,1160547,1170188,1809181,1660578,1668597,718077,1072991,100,"tower",1,1,7,9,11,21,22,23,20,13,3,-1,-2,-3,2,4,8,15,15,14,11,8,-1,-4,8,8,9,10,8,8,9,9,8,8,9,9,39.807275,-104.964548,"CO","Adams",2.617657431,3.505279103,5.562842073,7.220330346,7.921994941,11.56324836,13.30270227,15.3192321,12.71580037,9.60412448,5.284437225,3.154834841
470,1767136,1796669,1279113,2034428,2014998,2244634,2524480,2471236,2158076,2462007,2596661,2257597,100,"tower",-1,0,5,8,11,19,20,21,18,12,2,-2,-4,-4,1,3,7,14,14,13,10,7,-2,-5,7,8,8,10,9,8,8,8,8,7,9,8,38.2081,-104.5747,"CO","Pueblo",3.192706552,4.835075676,7.24060303,9.788922232,11.6162765,17.28243486,19.97909814,20.67346,19.98536454,16.81999185,8.529296429,4.340254364
492,850682,789581,603535,335955,963459,945155,933509,869696,693774,778126,522105,498373,100,"tower",0,1,6,9,11,20,21,22,19,13,4,0,-3,-3,1,4,8,14,15,14,11,7,-1,-4,8,8,9,11,9,8,8,8,8,8,9,9,38.824444,-104.833333,"CO","El Paso",3.154594038,4.81823163,7.471727875,9.968079052,10.38435933,16.14120155,17.74955475,18.794634,17.49082613,13.59469326,6.999166503,3.247476173
493,2366,5981,0,0,4637,0,0,4252,0,0,0,8238,100,"tower",0,1,6,9,11,20,21,22,19,13,4,0,-3,-3,1,4,8,14,15,14,11,7,-1,-4,8,8,9,11,9,8,8,8,8,8,9,9,38.881389,-104.816944,"CO","El Paso",3.105062811,4.747111713,7.41852514,9.907427016,10.32204289,16.0397267,17.64438453,18.68415455,17.29004721,13.36429133,6.867580119,3.192557006
525,1757024,1425741,1358508,921986,1280380,1306030,1303337,1592867,1444362,1681159,1612569,1344938,100,"tower",-5,0,4,6,10,18,19,19,15,10,0,-9,-7,-3,0,2,6,11,12,11,8,5,-3,-9,2,4,5,7,6,6,6,6,5,4,6,4,40.4856,-107.185,"CO","Routt",1.051981116,2.075963399,4.12439293,6.064327143,8.758145887,14.03594562,15.56079288,15.82810366,12.55289397,9.020423763,2.325388922,0.446064035
527,333835,95789,396767,392059,142475,274384,405074,403675,214319,0,7997,370615,100,"tower",-1,3,7,9,12,21,21,22,18,12,3,-4,-3,-1,2,3,7,12,14,13,11,7,-1,-6,4,6,7,9,7,8,7,7,7,6,7,6,38.2383,-108.5069,"CO","Montrose",2.023128907,5.104815904,9.447450586,11.35659305,13.69863768,17.79966194,19.60912035,19.99044003,17.05074106,12.68438479,5.416012215,1.293773535
533,918966,829050,617779,833420,915644,917412,944528,894145,888867,878328,825890,549338,100,"tower",10,8,17,21,24,27,29,28,25,20,17,16,7,5,14,18,20,23,25,24,21,17,15,14,5,6,5,5,4,4,4,4,4,5,5,5,31.400255,-86.476449,"AL","Covington",11.35464253,11.02589747,15.41785512,20.29747198,23.28060234,26.46123668,28.96289131,29.03728694,26.94214819,21.85887751,18.02936512,15.79954039
550,259220,151386,216462,228028,159475,27572,225567,238633,212764,267356,238134,251768,100,"tower",-1,4,7,8,15,21,22,21,14,12,2,0,-1,2,4,4,10,13,14,13,9,8,0,0,4,5,7,8,7,7,8,8,7,7,7,6,48.620336,-118.111059,"WA","Stevens",2.931586428,3.790536296,5.267581861,8.101686909,10.92123705,16.19126034,17.51830952,17.57554275,14.4244621,11.77863861,7.292714654,3.859110086
562,0,27763,0,0,6450,0,52425,0,0,0,0,0,100,"tower",-4,-9,0,9,18,19,23,23,21,12,8,7,-6,-9,-2,6,13,16,19,19,17,8,6,5,7,7,6,7,6,6,5,5,5,6,5,5,41.554944,-72.579075,"CT","Middlesex",0.019998045,0.301117101,1.377483792,7.034438123,17.00014466,20.47235871,24.12007305,26.578877,23.23156936,13.89214977,8.742838684,5.828802956
564,1714165,0,2915531,2693443,1569991,2602313,2695042,2886472,2357124,2498349,2621572,1828434,100,"tower",17,16,22,25,26,28,29,28,28,25,24,22,14,12,19,21,22,24,24,25,24,21,20,19,8,9,8,7,8,6,7,6,6,8,8,8,28.4822,-81.1678,"FL","Orange",16.9134888,15.62818973,22.57076765,25.53349884,27.02954604,29.3744385,29.26714247,28.22171194,27.95643044,25.21551592,23.8750153,21.90778066
589,203161,245818,262547,66442,125388,131119,193322,234632,110438,235317,187013,223346,100,"tower",-9,-14,-1,7,17,18,22,22,19,8,6,4,-10,-14,-5,3,12,14,18,18,15,6,4,2,9,8,9,8,8,7,6,5,6,7,8,7,44.4917,-73.208056,"VT","Chittenden",0.788272464,0.356337132,0.049711445,3.829022636,12.5194034,14.71321815,18.86696457,20.37280065,18.84701734,10.14210751,6.005468478,2.88656411
594,735861,1224250,358354,584,291979,276890,320196,536754,236953,30,170389,44773,100,"tower",1,-3,5,12,19,23,25,24,22,14,11,11,-1,-4,3,9,16,20,22,20,19,11,9,9,8,8,7,9,8,8,6,6,7,8,6,7,38.5857,-75.2341,"DE","Sussex",4.244434254,2.099348356,6.803872279,15.28836023,21.38944263,25.33578246,27.31959259,27.13764581,24.48029971,17.03555016,12.85362742,11.21769378
599,0,12187,3836,0,3189,8919,31132,23859,11434,0,0,0,100,"tower",0,-3,4,13,21,23,25,25,23,14,11,11,-2,-5,2,9,16,20,21,20,19,11,9,9,8,9,8,9,7,8,5,6,7,8,6,7,39.176222,-75.546628,"DE","Kent",2.975443362,1.445690765,5.07026578,12.76317376,19.68367732,23.52425452,24.95314206,24.74497236,23.34739728,16.26205454,12.9153969,10.03037473
602,3219914,3720205,2910277,1904424,2924523,3296829,4061676,2902020,2474761,1348265,904055,1650743,100,"tower",1,-3,5,14,22,25,26,26,23,15,12,11,-2,-5,2,9,17,20,21,20,19,11,9,8,7,8,7,8,6,6,5,5,6,6,6,6,39.18,-76.5389,"MD","Anne Arundel",2.848232912,1.318652715,4.039425102,11.76493851,20.4182813,25.3097375,27.48095809,26.94072996,25.15911541,17.65442648,13.26453388,9.75017786
621,1131370,1025909,1145139,1197866,1382082,1351776,1310635,1334297,1303010,1324842,1321888,1032730,100,"tower",21,20,25,27,27,29,29,29,28,27,26,25,18,16,20,22,22,24,25,25,25,23,23,22,8,9,9,8,10,7,6,6,5,8,9,9,25.4356,-80.3308,"FL","Miami Dade",24.19200311,21.95442392,26.62533687,28.63131303,28.67956343,30.14114663,30.95368514,29.76448315,28.27613426,27.62279883,27.31874382,25.66805286
628,2097809,2941921,4487316,4190403,4081278,3879482,4300353,4227686,3947251,3617782,1521407,1778550,100,"tower",14,13,21,24,26,28,28,28,27,24,23,21,12,10,17,20,21,24,24,25,24,20,19,18,6,7,6,6,6,5,5,5,5,6,6,6,28.9656,-82.6977,"FL","Citrus",16.14335587,14.51001103,22.05018268,25.1533282,26.84997125,30.22091837,30.3194384,29.94634301,28.54317569,25.53705202,23.88808291,20.56535334
641,134598.5,103433,115199,86614,108883.5,93694.5,85676.5,42617,0,4035.5,0,0,50,"tower",11,10,18,22,25,27,29,28,26,22,19,17,8,7,16,20,21,24,25,24,22,18,16,15,8,9,8,7,7,6,6,6,6,8,7,8,30.5661,-87.2244,"FL","Escambia",11.68056804,12.20422808,17.160421,21.67523159,24.3281967,27.77277072,29.46517514,30.5487446,28.30148095,23.33477524,18.86904153,16.91564078
641,1191784,1368314,1342852,512406,1376827,1828264,2066278,1384435,1675526,784297,256435,0,100,"tower",11,10,18,22,25,27,29,28,26,22,19,17,8,7,16,20,21,24,25,24,22,18,16,15,8,9,8,7,7,6,6,6,6,8,7,8,30.5661,-87.2244,"FL","Escambia",11.68056804,12.20422808,17.160421,21.67523159,24.3281967,27.77277072,29.46517514,30.5487446,28.30148095,23.33477524,18.86904153,16.91564078
643,780693,698506,503227,686746,698736,682256,786289,790243,739632,829638,375885,682638,100,"tower",11,10,19,22,25,27,29,28,26,22,19,18,8,7,16,20,21,24,25,24,22,18,16,15,7,8,7,6,6,6,5,6,6,7,7,7,30.2686,-85.7003,"FL","Bay",14.9680294,13.82934744,18.87589441,23.662483,24.56251532,30.28371382,31.49801056,31.01801525,28.10518747,24.34311023,22.1009507,19.25447033
663,553098,512306,561303,493707,549419,432080,662933,767705,654340,289021,165388,147397,100,"tower",13,12,20,23,25,28,28,28,26,23,21,20,10,9,16,19,20,23,24,24,23,19,18,17,6,7,6,6,6,5,5,5,5,6,6,6,29.7592,-82.3878,"FL","Alachua",18.14924718,16.38268948,21.48664795,23.1753749,24.508748,26.73268807,26.97978771,26.95825697,25.4413,22.58807466,21.20794619,19.72723485
664,82815,20788,1893,151027,178152,151596,108943,162642,195409,245770,229934,251001,100,"tower",13,12,20,23,24,27,28,28,26,23,21,20,10,9,16,19,20,23,24,24,23,19,18,17,6,7,6,6,6,5,5,5,5,6,6,6,29.6461,-82.3208,"FL","Alachua",17.51482015,15.74111739,21.66972012,23.62543253,25.2108843,27.88250978,28.20660446,27.85087478,26.20055551,23.14700238,21.68781257,20.19473877
673,481,4273,4718,0,7919,7359,3142,2708,3863,3876,3297,1829,100,"tower",21,19,24,26,27,28,29,29,28,26,26,25,17,16,20,22,22,24,25,25,25,23,22,22,9,11,10,9,10,8,8,7,6,9,11,11,26.612767,-80.0677,"FL","Palm Beach",24.43920076,22.8137704,25.38954547,27.12307009,27.67966148,29.41395092,30.61923944,30.08364984,29.66629959,27.90147315,26.89193338,25.19007314
676,1138400,1034664,451530,976633,1384723,1239951,1426812,1202236,1287322,1174614,1134909,1327822,100,"tower",16,15,23,26,27,28,29,28,28,25,24,22,13,12,18,21,21,24,24,25,24,21,20,19,7,8,7,6,7,5,5,5,5,6,7,7,28.0801,-81.9229,"FL","Polk",18.62980102,17.88972587,23.23225675,25.88901577,27.09522193,29.48919697,30.3171754,29.04616652,29.09262475,25.32413013,23.8853133,22.06558244
688,341086,345479,139418,137372,378077,432222,498459,471690,366653,320732,364731,315554,100,"tower",11,11,19,23,26,28,30,29,27,22,20,18,8,7,15,20,20,24,25,24,22,18,17,15,6,7,6,6,6,5,6,5,5,6,6,6,30.4522,-84.4,"FL","Leon",13.96334769,13.43506367,18.26124641,22.0722629,24.07647458,27.21451249,29.25870684,28.40718373,25.90584793,20.80045657,19.00829393,16.82796371
689,296269,275927,322116,292168,250653,291685,306567,310060,293097,282711,194740,293970,100,"tower",12,11,19,23,25,28,29,29,27,22,21,19,9,8,16,20,20,24,25,25,23,18,17,16,6,7,6,6,6,5,5,5,5,6,6,6,30.162304,-84.200673,"FL","Wakulla",15.39407466,14.92148672,19.07161924,22.37856874,24.47733434,27.04100574,29.35835873,28.72437635,25.70144359,22.53634329,20.83771161,18.33379924
693,0,0,0,0,2482,0,0,0,0,0,0,0,100,"tower",18,17,22,25,26,28,28,28,28,26,25,23,15,14,19,21,21,24,24,25,24,22,22,21,8,9,8,8,9,7,7,6,5,8,9,9,27.633382,-80.377551,"FL","Indian River",21.20283302,12.56674077,23.08772513,23.84767647,26.94271431,28.23142542,27.81281879,28.34574376,28.47767011,23.96760046,25.00111684,23.70685382
703,5003253,5573833,3814332,6729301,8242699,8177129,9242540,7905774,5472715,1128755,1103675,4149246,100,"tower",5,4,13,18,22,26,27,26,23,17,14,13,3,1,10,14,18,22,23,21,19,14,11,11,4,5,4,4,3,3,2,3,3,3,4,3,34.1256,-84.9222,"GA","Bartow",8.358706109,6.896046483,12.71751481,16.80225043,19.85722729,21.35776663,23.27489771,23.22853832,22.08645433,17.33362266,14.35455714,13.25473078
710,3271743,3003633,3276645,2865234,2469147,3178081,3338198,3367422,2512334,2410515,3267138,3096954,100,"tower",6,4,14,18,22,26,27,26,23,17,14,14,3,1,10,15,18,22,23,22,19,14,11,11,6,7,6,6,5,5,5,5,5,5,6,5,33.8239,-84.4758,"GA","Cobb",7.129333221,6.112757139,12.80934397,17.42089634,20.50238622,23.70079957,24.67277289,24.06589572,21.11118062,16.4723756,13.88333242,12.68104015
